Ticker,Description,Exchange,Bollinger Lower Band (20),Relative Strength Index (14),Relative Volume,Average Volume (10 day),Volume,High,Last,Low,Average Day Range (14),ADRTOPRICE,Hull Moving Average (9),Exponential Moving Average (10),"Change 5m, %","Change 15m, %","Change 1h, %","Change 4h, %",Change %,Monthly Performance
VTHOUSDT,VTHO / TetherUS,BINANCE,0.0167142,58.91873642,0.02931546,1018127195,1025009,0.018199,0.018199,0.01815,0.00043407,2.39%,0.01839077,0.01809565,0.21475771,0.21475771,-1.55252624,5.15398394,0.21475771,-25.36193249
GXSUSDT,GXChain / TetherUS,BINANCE,1.09958451,61.48674775,0.07982159,5658467.055,9866.99,1.1917,1.1903,1.1903,0.02830714,2.38%,1.21238519,1.17239059,-0.03359368,-0.03359368,0.38795648,5.39224367,-0.03359368,8.30679647
XVSUSDT,XVS / TetherUS,BINANCE,105.329428,33.59328765,0.03810063,1151014.501,517.009,104.909,104.909,104.52,2.47764286,2.36%,104.8675222,107.721109,0.18237895,0.17378517,-2.8546032,-4.85095269,0.17378517,25.95443645
AVAXUSDT,AVAX / TetherUS,BINANCE,36.51753986,43.71588513,0.04326156,3390910.439,2718.448,37.2,37.154,37.015,0.81342857,2.19%,37.48708519,38.02598597,0.28885349,0.29965176,-4.72404596,-2.24455964,0.29965176,5.10578279
SUNUSDT,SUN / TetherUS,BINANCE,36.86164216,49.03348067,0.04124491,738653.7802,286.926,38.182,38.039,38.039,0.826,2.17%,38.46897407,38.58227711,-0.19939656,-0.19939656,-3.89823657,2.30775438,-0.19939656,-11.81086056
CTKUSDT,CTK / TetherUS,BINANCE,2.95634365,45.84537055,0.08050191,5747704.497,4475.79,3.0066,2.9907,2.9907,0.06384286,2.13%,3.02402481,3.01029229,-0.44605706,-0.44605706,-0.95051997,0.54462935,-0.44605706,-2.70859075
BTSUSDT,BitShares / TetherUS,BINANCE,0.14027066,54.24027425,0.25263479,108276806,645444.4,0.14554,0.14462,0.14402,0.00303786,2.10%,0.14624219,0.14425384,-0.73443613,-0.73443613,1.30288596,1.32417852,-0.73443613,-3.51333333
SUSHIUSDT,SUSHI / TetherUS,BINANCE,16.07104398,45.20379095,0.03086279,5305038.616,8404.676,16.442,16.436,16.401,0.34342857,2.09%,16.47781852,16.82933539,0.13403192,0.13403192,-3.63508443,-0.46027132,0.13403192,1.26847291
DENTUSDT,DENT / TetherUS,BINANCE,0.00939459,44.56790594,0.02320602,13457576138,6038748,0.0096178,0.0095867,0.0095866,0.00019926,2.08%,0.00962903,0.00974825,-0.24245578,-0.24245578,-2.96862348,0.03756613,-0.24245578,-17.00186139
LTCUSDT,Litecoin / TetherUS,BINANCE,332.3320811,65.8789487,0.13363625,1669399.461,6329.41352,369.09,366.19,365.2,7.41928571,2.03%,369.9664074,357.0884353,-0.564803,-0.564803,5.14845231,3.24808977,-0.564803,18.82112635
ALICEUSDT,ALICE / TetherUS,BINANCE,14.02838102,40.83451221,0.07148864,10487923.53,4869.65,14.0464,14.011,14.002,0.28296429,2.02%,14.19503259,14.24727725,-0.25415222,-0.25415222,-3.49088705,-1.41499145,-0.25415222,18.05805637
ZRXUSDT,0x / TetherUS,BINANCE,2.01349927,52.67921526,0.03405786,12290549.61,12132.4,2.0896,2.084,2.0823,0.04204286,2.02%,2.11281037,2.09775166,-0.17722004,-0.18200977,-1.55880964,1.56440372,-0.18200977,0.69417663
BAKEUSDT,BAKE / TetherUS,BINANCE,5.10223404,29.92039581,0.02048284,,5295.5,5.1899,5.1885,5.1763,0.10412143,2.01%,5.15222778,5.31422101,-0.02697547,-0.02697547,-1.32367205,-9.78090767,-0.02697547,
IOTAUSDT,IOTA / TetherUS,BINANCE,2.1621159,40.74359349,0.33005177,31665016.33,271041.18,2.1674,2.1552,2.1486,0.04312857,2.00%,2.17032741,2.20601526,-0.50320853,-0.50320853,-2.49287427,-2.86641428,-0.50320853,-13.78636907
